"Time [ms]","ElecPower []","MechPower []"
0,0,0
1,17032.2354429113,1067.04968842384
2,40111.6058273234,4007.22367621604
3,52444.1872321766,-9262.54622701304
4,63466.882098328,3951.10419402994
5,65247.876021612,-12605.6813306599
6,56348.2332706876,-21356.0285579313
7,48557.352718423,10801.8684049751
8,32653.4718143822,-23391.1967831018
9,17296.2135340781,-28663.4631185147
10,3579.53592201146,-5636.32389424158
11,-14591.8092963624,-49797.9382478955
12,-23834.7998798605,-23238.8572395114
13,-31378.9871256641,-29631.3365893737
14,-37592.2095015655,-35538.7862366571
15,-34756.0703757245,-23327.4105582621
16,-33796.4732443672,-17225.4535276826
17,-26065.1062002094,-22557.0632827256
18,-19016.8529941116,-10883.2671930823
19,-12831.9439165324,-8927.08216851797
20,-4949.63825237009,-3187.43193297374
21,308.774391862568,162.116833576909
22,5347.16426791154,3136.77119217568
23,10376.8010402557,8099.25589117446
24,15654.7724833811,7073.28959591981
25,15783.5746432051,8292.75503870275
26,18886.6546652879,13045.8707870699
27,14925.2052231266,7937.67543216397
28,12911.6098734287,7660.91872122378
29,10760.3846659525,12999.2047625544
30,4804.65251235953,-5374.08897279864
31,2423.62612032601,378.555045392029
32,-1598.74509208805,-3386.24405305358
33,-6693.54290214977,-5522.17327791103
34,-7330.61682339185,-4188.47112093216
35,-9319.26226012048,-4867.95343748817
36,-7697.83284289852,-8188.84093837878
37,-6310.15002477344,-4303.29346084151
38,-5124.28802370353,-3648.72097869029
39,-2276.35565201535,-1252.13468900503
40,-364.111625847967,349.785632718585
41,2180.25746264461,1688.35801951206
42,4149.36086950002,3750.00751179173
43,7408.57740931957,4619.08345270475
44,7430.35739590366,5376.07243601332
45,10264.7884965867,8850.20396111135
46,9922.80222967424,7951.658287708
47,9767.73734606153,9317.00176650958
48,10886.9615417597,11969.3873082917
49,8247.92083696188,4357.06735320425
50,8005.55091140663,7791.33782007681
51,5666.31337985622,4209.59877204847
52,3592.15089036512,3093.13299181903
53,3426.69400346947,4154.27537489793
54,1467.9078472924,2886.71397619349
55,1893.22374905392,2719.34722658892
56,1614.25126388592,2505.16638148497
57,1660.97764264995,2969.48367426609
58,2170.30461153629,1931.19448152648
59,2620.21462758099,2881.37643183953
60,3976.12046257185,2516.23531496554
61,4083.08068792805,3588.24932880873
62,6225.38563613774,5359.96702051277
63,6181.88432310026,5078.2758538938
64,7474.19397412979,8241.97786204133
65,8751.453607587,8052.7648253181
66,8077.69951528733,7177.38816508415
67,9841.75184858931,10249.5515336914
