"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
1,6.95358438223675
2,26.1136555058453
3,-60.3607287296581
4,25.7479447435946
5,-82.1467545325981
6,-139.169664035968
7,70.3919454314486
8,-152.432133571722
9,-186.789623430666
10,-36.7299238540429
11,-324.515502348345
12,-151.439390794569
13,-193.096911576602
14,-231.593665806378
15,-152.016461366644
16,-112.252171503458
17,-146.996381381441
18,-70.9223924647957
19,-58.1746284354752
20,-20.7713634604899
21,1.056457908491
22,20.4412253798593
23,52.7799781808515
24,46.0941197013409
25,54.0409434993512
26,85.0153131123831
27,51.7270156341479
28,49.9234903035639
29,84.7112071718284
30,-35.0210318747145
31,2.46690897325559
32,-22.0669515369731
33,-35.9860447719718
34,-27.2947808223053
35,-31.7227260959143
36,-53.3637721614697
37,-28.0430372890002
38,-23.7774205718299
39,-8.15971768932695
40,2.279428914328
41,11.0024304242729
42,24.4374689859379
43,30.1009286685642
44,35.0339574008847
45,57.6736404232108
46,51.818136945527
47,60.7155961675961
48,78.0002520547555
49,28.3934626740708
50,50.7733853168502
51,27.4324622315413
52,20.1568507048309
53,27.0719392731821
54,18.8116911879527
55,17.7210214386914
56,16.3252808320601
57,19.3510719554931
58,12.5849095234982
59,18.776908304463
60,16.3974131458703
61,23.3833482762693
62,34.9290041200512
63,33.0933226911095
64,53.7100466475104
65,52.4770123930853
66,46.7724931571767
67,66.7926922645716
68,31.5422929038906
69,51.8025527051149
70,40.4241267899498
71,41.3202696678323
72.0000000000001,56.9255465546031
73.0000000000001,42.2701156555875
74.0000000000001,46.1741310041073
75.0000000000001,34.3552814466564
76.0000000000001,34.0388405732655
77.0000000000001,24.4478540716408
78.0000000000001,28.9751630211722
79.0000000000001,35.9679890169829
80.0000000000001,33.6931221906067
81.0000000000001,53.1164397310491
82.0000000000001,37.8162216501456
83.0000000000001,47.6797857953472
84.0000000000001,47.4469213957939
85.0000000000001,35.2190607337882
86.0000000000001,57.1157200600428
87.0000000000001,34.6447456626373
88.0000000000001,54.7775547228145
89.0000000000001,58.6580144068525
90.0000000000001,46.007199439027
91.0000000000001,63.204267513146
92.0000000000001,46.6519740989333
93.0000000000001,47.5379661581857
94.0000000000001,38.5446582946671
95.0000000000001,38.3763257158781
96.0000000000001,42.3164995339385
97.0000000000001,39.0528895187672
98.0000000000001,58.9066704799341
99.0000000000001,39.6081712642023
100,56.1202321721336
101,33.6195806179626
102,38.9048498401482
103,43.3447647460802
104,33.2034175616997
105,58.6630536709932
106,51.8965570772493
107,49.5695767349153
108,66.7695494797721
109,40.3518330217392
110,55.6230111262655
111,41.8408482863826
112,44.9100662057242
113,47.7993392100126
114,42.6068861681877
115,60.2673968505396
116,44.1968579555428
117,60.7749719646795
118,35.2331568439237
119,48.8150442426882
120,32.9051723470866
121,34.3119454095476
122,53.2055334640818
123,42.8848912490179
124,55.6349977843073
125,64.718535982437
126,40.5566867045454
127,60.6921361458468
128,32.7388690607496
129,49.8844351496446
130,44.3841762339583
131,45.0223658750695
132,63.6541409443571
133,49.0720294739274
134,60.149347323165
135,41.5540096079986
136,53.021468300191
137,33.521031351065
138,42.840754510181
139,49.4096218834037
140,39.9387906099374
141,60.7583566118811
142,51.0078070954472
143,48.3581313722401
144,61.9748545288523
145,31.8696569824831
146,55.07612837259
147,35.2382468091154
148,49.3460895100786
149,60.1505370685403
150,49.0154379166228
151,63.2422070942287
152,48.8175240235202
153,52.3513184759499
154,37.8532407317216
155,44.6022324244296
156,45.934557816487
157,44.2227809916849
158,65.6141044282317
159,42.9836840622875
160,56.9003020721858
161,45.9802205856001
162,38.3041556756614
163,55.3127535311466
164,32.1331352142299
165,55.8146798740194
166,52.7809443218059
167,46.7402724541467
168,65.0284626404535
169,46.534731371613
170,54.3919114746328
171,44.3212301698054
172,44.3422360442204
173,44.2553383498956
174,42.9923713149656
175,62.2401660853581
176,45.25042815166
177,65.4460591250484
178,36.4148325559714
179,46.1846529886349
180,40.4823557345785
181,33.5886505212049
182,57.0886034089801
183,46.2400751157468
184,52.3411003456412
185,65.9617918152515
186,40.5803407930409
187,58.182791972863
188,39.745602777182
189,47.1238126238694
190,46.3052923212154
191,43.0041388424191
192,59.8114444386228
193,46.488803230756
194,63.5850282243624
195,40.0706360449905
196,56.3867834779821
197,32.8126257037863
198,38.5234176568654
199,49.792095550599
200,40.0425646817609
201,59.1439776975309
202,60.9048544731909
203,45.0916994773848
204,64.4248446791521
205,32.3403763516578
206,51.8270992443532
207,39.3019041658839
208,46.0017962120106
209,61.4315479308087
210,49.2088592397525
211,62.1740695685432
212,45.238968572039
213,55.6300400649308
214,35.1278655296026
215,46.3370524122164
216,44.1306775378477
217,40.4403639709731
218,62.1942775177424
219,47.5047590612379
220,53.344758999873
221,59.864148852499
222,35.0818193657395
223,57.6546065926043
224,31.4493893179407
225,50.7234262356157
226,53.5485300093145
227,47.0627925223343
228,65.231671319585
229,50.3451246765683
230,54.217416500279
231,39.9486269593173
232,45.4882599102155
233,40.9228079674976
234,43.3348671627361
235,62.8983084944812
236,43.6166328254096
237,61.1706052666025
238,42.8110344797174
239,42.4711379656395
240,51.674647797423
241,30.9342538477106
242,56.6691588995709
243,45.7418827908948
244,48.013487096815
245,64.6273085889117
246,45.1164168251449
247,56.8875735001449
248,45.6638281329644
249,45.5614147168751
250,41.2991528636588
251,41.878506277512
252,57.9674571081235
253,45.6054472957245
254,66.9487854011737
255,38.7507009467151
256,52.171129827518
257,36.6856148052318
258,35.1286806358454
259,53.3938047918892
260,40.4768250452336
261,56.7486004547437
262,64.0093188810217
263,42.9909712612181
264,61.7695165489774
265,38.3481431083077
266,49.913291172658
267,44.304423783382
268,43.7484480122264
269,57.547955123456
270,46.7023847001735
271,63.801177007852
272,43.0938322259781
273,59.5930079263549
274,33.1763211449942
275,42.9390892631241
276,43.9353278753117
277,37.8925322117435
278,60.3023418759982
279,54.9585344728117
280,50.0687035626732
281,66.771334884282
282,33.7248868411147
283,54.4444866396727
284,35.1904323740941
285,47.444680927272
286,56.4043194460145
287,48.0426426842884
288,63.7934158652332
289,47.5167860297182
290,57.0038676795378
291,36.7643311727144
292,48.0706353036182
293,38.5696781986368
294,40.8755193727837
295,60.2064253073556
296,43.8910457177466
297,56.8939135930789
298,55.6327857639599
299,39.1537997922412
300,59.256553026651
301,29.3303362925769
302,51.6479851343522
303,45.985470390791
304,46.0250932437883
305,65.1815412759284
306,50.2268636750431
307,56.2048400383072
308,42.7173409330503
309,46.6156587959916
310,37.5885334289179
311,42.3995814101251
312,57.7670662898703
313,44.3228354005202
314,64.3905455656814
315,41.025471904505
316,47.4992417951285
317,48.1551752312192
318,32.328773068811
319,56.9135704059077
