"Time [ms]","InducedVoltage(PhaseA) [V]","InducedVoltage(PhaseB) [V]","InducedVoltage(PhaseC) [V]"
0,-75.1627942304405,-472.853805672689,457.457140171248
1,65.7795364189645,-406.523385679683,339.001197610531
2,206.721867068369,-340.192965686677,220.545255049813
3,274.86692982857,-381.340859404325,31.3125058549799
4,287.874599531938,-313.578775144216,-58.9827954143803
5,422.090330655311,-121.115195539956,-134.52226488214
6,372.462515153219,-79.181342484681,-302.388137659183
7,229.882304253765,9.64163332679235,-418.491035530564
8,235.882984011276,241.419393960572,-392.729850665981
9,143.008720764549,330.390270239059,-373.866963116106
10,-77.7283152942725,344.385890842969,-403.835846156651
11,-173.864453030446,452.247517141913,-335.018087792318
12,-222.809439661782,516.206632612616,-134.339313865175
13,-406.598888279473,432.324165909114,-57.0147197877646
14,-506.723629042665,365.632168363606,22.7997250887881
15,-462.921239856463,296.582256487026,240.761982720677
16,-474.95018174094,193.073341853541,377.018277083405
17,-454.32888226041,-5.76701741399344,406.549962957982
18,-347.366771115699,-167.243090460356,484.857577375266
19,-227.769346705217,-269.638454058348,518.025323220119
20,-72.6823751742964,-395.115043793029,464.949341827101
21,82.2577676773226,-478.764884100016,391.709803121083
22,232.603668809072,-504.349882179266,267.499004508919
23,354.272310540832,-473.753573216069,129.215270578561
24,448.114721978582,-381.076635551868,-29.7846222549762
25,473.954329816446,-323.874857841745,-203.573335495148
26,439.218964875085,-177.278466257931,-334.034365364908
27,454.21143567446,32.8882960799268,-412.934989819641
28,342.149506682815,170.333782621036,-456.661653571888
29,164.520407764547,266.948812402289,-504.35023371972
30,45.659410733129,415.721748581594,-455.097163056625
31,-69.070607180916,492.66076156422,-341.09153476578
32,-273.077639254582,490.907214052332,-265.157468253017
33,-414.289319620462,466.257114802319,-151.602406630306
34,-446.263105241993,430.78855250797,65.179466566377
35,-497.541993277323,334.328958179031,229.069317243179
36,-509.413927527462,168.764993097014,321.869707468873
37,-458.917293323609,11.0867730448074,435.565150792546
38,-361.498343612989,-131.52720256523,510.010987795673
39,-235.531371411561,-287.731284514456,509.589618509231
40,-87.0742734307655,-415.84270380936,474.026478124526
41,82.8192557550511,-481.64582808713,397.877419115756
42,243.126943604289,-504.3387678595,292.033505084815
43,370.211659207791,-475.370893258282,137.84060250316
44,454.082548064932,-440.886558808989,-35.743468755415
45,480.122878001194,-326.410968165724,-192.293279350754
46,507.377468332907,-163.763795689694,-326.108291858814
47,444.346353650967,-32.7566441249549,-431.32565660016
48,332.90551286425,131.829297962252,-491.498449226108
49,244.25990238565,300.853324833329,-497.385339277401
50,99.395697409939,422.446512187889,-439.202093869859
51,-104.850056951413,468.82684070228,-408.971753334818
52,-268.041545997334,491.385431764389,-295.872610342821
53,-363.069062368671,490.587904625768,-118.774347932015
54,-461.045571579647,436.445792643055,43.231327996553
55,-510.274981469701,311.273674986963,181.264707369204
56,-501.478166869826,189.052924411765,335.551858831886
57,-441.980176057891,41.3016319982922,452.437687445218
58,-367.465662139859,-139.126166131027,495.504951836337
59,-253.265244463847,-300.070120479207,499.317990778377
60,-86.7614602039695,-409.210437110349,469.509478761343
61,88.0091891842152,-476.046629093743,413.789866038358
62,239.403518585011,-498.512276634168,286.460955934038
63,369.288176536316,-498.642192600412,130.007609731557
64,457.518021319324,-423.815383488398,-17.3553643967472
65,503.736024276838,-310.129021687066,-185.952393855054
66,494.478641546617,-204.910178894792,-335.035703502632
67,425.181424572953,-40.0271914345165,-441.145544766627
68,381.479971690371,145.340831532343,-487.452941284726
69,251.096590301655,297.908292010886,-482.544722048603
70,72.2225186860639,400.65254965167,-479.727165384942
71,-88.9925576359398,475.7086209018,-404.529117149342
72.0000000000001,-231.811046384933,504.323224575107,-268.305000111816
73.0000000000001,-374.838467609247,492.355554007289,-139.35767917362
74.0000000000001,-472.294726547698,405.545652976332,9.53680868916584
75.0000000000001,-499.858191495437,332.116668414443,193.596683848811
76.0000000000001,-485.092228533272,207.233414936952,345.922631133269
77.0000000000001,-451.117185735499,30.9267933490793,437.451432218809
78.0000000000001,-379.930557935682,-144.264151453191,488.139281680099
79.0000000000001,-238.497530318825,-287.59662568578,499.40310389733
